candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000035_8e1494db,random-phased,120,120,988.6583,780,345.5,1917.6,0.2583,94.3638,2.9417,53.7417,1455.325,1009,503.9,2892.8,100.2917,0.0417,1.45,0.7397,14006.4333,948.7501,612.5227,29.525,-11609.1967
search_candidate_000049_84ea55a2,random-phased,120,120,1063.925,955.5,393.7,1891.2,0.3,99.8117,3.4083,54.7333,1622.2,1430,603.6,2958.3,101.6833,0.0167,1.6083,0.6933,14493.9917,920.1902,571.3355,143.5049,-11615.9307
search_candidate_000082_d6cdd3cc,random-phased,120,120,1024.1917,812.5,357.8,1924.6,0.3,95.2992,3.1667,54.1,1466.25,1020,489,2749,99.9167,0.0667,1.575,0.6456,14061.9,929.2028,635.7204,24.3986,-11637.3703
search_candidate_000014_bd904449,random-phased,120,120,897.3,805,429.3,1484.1,0.325,101.6392,2.85,44.7917,1309.925,1068.5,672.9,2301,98.4167,0.0583,1.525,0.7152,14141.0583,619.2566,413.0239,363.2717,-11657.989
search_candidate_000112_ef9b61f6,random-phased,120,120,1171.2417,1117.5,556.9,1776.5,0.6833,113.2071,3.7667,57.4083,1875.9083,1842.5,978.3,2888.5,95.6833,0,2.175,0.4633,15514.7333,761.4388,472.0722,597.5806,-11669.4122
search_candidate_000052_fe670fc2,random-phased,120,120,1145.4417,1117,540,1847.6,0.6167,109.9196,3.7167,56.5667,1869.3333,1734,880.8,3073,99.575,0,2.075,0.5072,15336.2917,850.8322,502.6341,455.3839,-11672.0682
search_candidate_000064_3aa670e8,random-phased,120,120,1101.8583,867,412.4,2034.4,0.2667,94.8429,3.65,56.7,1522.65,1187.5,536,2841.9,102.825,0.05,1.5333,0.7108,14274.3167,918.5835,635.389,76.7083,-11687.6417
search_candidate_000044_a0225099,random-phased,120,120,1048.15,790,410.2,2010.5,0.2917,95.4992,3.2167,56.0833,1546.025,1149,598,3031.2,99.875,0.0583,1.55,0.7085,14346.65,969.2234,615.4031,113.3883,-11698.814
search_candidate_000069_51f8f456,random-phased,120,120,1052.5333,911.5,434.3,1816.3,0.375,99.8829,3.425,54.1167,1519.0167,1290.5,641.4,2720,104.5833,0.025,1.6417,0.6753,14534.1333,811.6434,553.9812,235.5783,-11750.411
search_candidate_000019_b0611bd4,random-phased,120,120,1176.7167,1131,509.5,1893.2,0.5917,109.4467,3.8417,57.8667,1918.8083,1810.5,824.5,3227.9,98.275,0,2.1083,0.5208,15590.7333,927.3101,530.8772,360.8449,-11903.9727
search_candidate_000047_b82accf7,random-phased,120,120,973.95,783,374.3,1735.6,0.275,93.3308,3.1,51.8833,1417.3,1109.5,501.6,2717,105.6583,0.025,1.5583,0.7224,14721.5917,849.6329,552.5351,76.7835,-12295.725
search_candidate_000087_2b3edbaf,random-phased,120,120,955.5083,701.5,406.5,1788.7,0.1833,90.3583,3.075,51.1,1394.9833,1063.5,551.3,2746.2,107.3667,0.0333,1.525,0.7512,14710.7917,847.3669,544.1017,127.6165,-12336.0884
search_candidate_000018_b31247d8,random-phased,120,120,1061.3417,829.5,412.5,2030.5,0.2667,94.8683,3.5167,54.5417,1519.0917,1166,518.4,2942.4,106.2833,0.0167,1.5917,0.747,14953.2917,934.3051,628.3626,51.2475,-12396.5772
search_candidate_000022_6cd35731,random-phased,120,120,949.25,792,298.6,1843.1,0.2333,90.4213,2.9917,50.9417,1365.2583,1065,460.9,2637.2,105.4167,0.0417,1.55,0.755,14740.6833,845.9866,569.102,37.9067,-12442.137
search_candidate_000102_b4afd786,random-phased,120,120,995.4667,740.5,351.3,2043.2,0.175,86.5083,3.4333,52.2083,1437.8833,986.5,452.6,2965.8,108.9333,0.0083,1.525,0.7788,15011.55,1012.8364,646.3536,-53.8182,-12732.1203
search_candidate_000062_2ab65d5f,random-phased,120,120,1078.6167,1005,405.8,1899.3,0.375,102.4362,3.5833,55.025,1677.5667,1609.5,624,2780.3,107.1667,0,1.9667,0.619,15838.75,862.2526,547.9939,192.8737,-12755.9586
search_candidate_000003_883f0f4c,random-phased,120,120,947.475,764,317.9,1990.7,0.1333,85.2438,3.325,50.1,1310.7833,946,426.5,2623.4,110.9083,0.025,1.5083,0.8189,15071.0583,909.7391,613.8849,-28.3696,-12970.3822
