candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000087_4149182b,centered-gaussian,5,5,0.2,1624.6,90,81.6,4676.6,3011.6632,11614.4,1726,1589,31307.4,0.2,309.84,16.4,609.2,143478.8,3309,2975,423549.4,205.6,0,3.6,0.5292,25648,279018.4539,19314.7587,-1424.2316,1624.6
centered_candidate_000267_2ba118bd,centered-gaussian,5,5,0.2,1624.6,61,46.2,4755.2,3109.8259,11360,1269,1033,31620.6,0.2,282.14,15,599.4,104196,2131,1892.4,308208.2,174.4,0,2.8,0.6771,20977.8,203416.9932,19977.3564,-1508.7129,1624.6
centered_candidate_000182_55827fea,centered-gaussian,5,5,0.2,1624,56,49.6,4756.4,3116.0739,11321.4,1253,1166.6,31447.4,0.2,287.48,15.2,594,102859,2366,2180.8,303825.6,174.8,0,3,0.5982,21755.6,200605.0626,19949.1558,-1508.4369,1624
centered_candidate_000208_f5c8038b,centered-gaussian,5,5,0.2,1623,35,28.2,4802.4,3172.5143,11015,836,709.2,31422.6,0.2,257.16,14.4,578.8,103134.6,1160,919.6,307144,169.4,0,2.4,0.7437,19403.2,203676.1901,20270.9221,-1558.0571,1623
centered_candidate_000364_3dfd969c,centered-gaussian,5,5,0.2,1620.4,92,76.2,4695.6,3071.8085,11360.6,1694,1577.2,30810.4,0.2,296.44,15.6,596.6,91784.4,3451,3189,268652.8,206.6,0,3.6,0.5167,25415.4,176714.9636,19402.8463,-1459.7042,1620.4
centered_candidate_000321_73224043,centered-gaussian,5,5,0.2,1619.2,92,38.8,4733.2,3102.5027,11191.2,1572,919,31115,0.2,280.1,15.2,585.8,77720.2,3081,1394.8,228885,183.2,0,2.4,0.5952,19016.4,150850.4713,19754.076,-1512.4513,1619.2
centered_candidate_000059_e11151af,centered-gaussian,5,5,0.2,1616.4,111,57.2,4681,3038.5527,11403.4,2004,1307.8,30977.4,0.2,316.34,15.8,594.8,121325.4,4297,2599.6,357144,195.2,0,3,0.5509,21427.2,235125.8204,19378.1618,-1462.0763,1616.4
centered_candidate_000443_85da8f59,centered-gaussian,5,5,0.2,1613.8,87,77.6,4671,3045.6397,11514.4,1792,1542.6,31171.6,0.2,302.02,15.8,605.2,101185,3625,2778.4,297110.2,180,0,3.4,0.4587,22778.4,195659.7938,19513.9557,-1445.2199,1613.8
centered_candidate_000126_511df426,centered-gaussian,5,5,0.2,1612.8,65,57.6,4714.4,3097.6065,11337.6,1490,1305.6,31218.2,0.2,291.22,15,599.8,62511.6,2761,2504,182268,197.2,0,3.6,0.5132,25635,119641.3297,19827.0001,-1491.2033,1612.8
centered_candidate_000038_39bbe46c,centered-gaussian,5,5,0.2,1610.8,112,62.8,4662,3033.7379,11429,1908,1232.8,31184,0.2,298.28,15.8,600.6,131370.8,3750,2512.2,387934.4,195,0,4.2,0.4655,28059.8,256075.7759,19495.0297,-1454.069,1610.8
centered_candidate_000117_e2f5a9e6,centered-gaussian,5,5,0.2,1610.8,121,61.6,4655.6,3024.7894,11441.2,2056,1367.8,30959.4,0.2,314.62,15.8,598.6,116539.2,4316,2524.2,342789.6,192,0,3.4,0.5468,23538.2,225416.9272,19292.79,-1450.7947,1610.8
centered_candidate_000301_ed6c14e1,centered-gaussian,5,5,0.2,1609.6,102,51.8,4682,3061.2901,11310.2,1885,1214.2,30946.6,0.2,290.88,15.6,594,96387.8,3202,2007,284162.4,199.8,0,4,0.4748,26900,187518.8934,19488.8829,-1478.845,1609.6
centered_candidate_000298_dd7518ee,centered-gaussian,5,5,0.2,1606.4,63,39.8,4713.2,3093.8602,11176.2,1359,946.4,31181.6,0.2,286.74,14.8,587.8,100066.4,2640,1570.8,295778,182,0,3.6,0.6682,24772.2,195115.0405,19809.3483,-1507.1301,1606.4
general_top5-average-phased_018b96f2,top5-average-phased,5,5,0.2,1605.4,57,53.4,4703,3091.8093,11178.2,1313,1208.8,30961.6,0.2,287.5,15,588.6,105783.4,2264,2138.4,312689.6,203,0,3.2,0.5797,24096.8,206483.0334,19658.604,-1492.5047,1605.4
centered_candidate_000154_8f6ed176,centered-gaussian,5,5,0.2,1605.2,63,46.6,4707.4,3098.9109,11067.6,1295,1042,30867,0.2,280.28,14.6,582.4,136388.4,2201,1898,405012.6,192.2,0,3,0.6524,21860.8,268450.4282,19744.2936,-1502.8555,1605.2
