candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
centered_candidate_000028_c18735ec,fnv1a-1452a1a8,30-60,30,60,3,1,355,11,1,16.3333,350,2.4,11,50,150.0133
centered_candidate_000012_324e6e1e,fnv1a-28ae8f94,30-60,30,60,3,1,389.3333,13.6667,1,19.3333,430.3333,6.6,13.6667,50,149.7267
centered_candidate_000034_908b48c3,fnv1a-2d217101,30-60,30,60,3,1,366.6667,12.6667,1,17.3333,366.6667,4.4,12.6667,50,149.4133
centered_candidate_000031_c7933155,fnv1a-94563650,30-60,30,60,3,1,374.3333,13.3333,1,18,399.6667,5.6,13.3333,50,149.2466
centered_candidate_000011_c5b9442d,fnv1a-9d447ddf,30-60,30,60,3,1,358.6667,13,1,16.6667,392.3333,4.8,13,50,148.8734
centered_candidate_000008_f9323a06,fnv1a-98800165,30-60,30,60,3,1,363.6667,10,1,17.3333,374,3.4,10,50,148.6933
centered_candidate_000017_4c61f4b6,fnv1a-caeeb567,30-60,30,60,3,1,369,12.3333,1,17.6667,395.3333,5.2,12.3333,50,148.5467
centered_candidate_000026_77fdcace,fnv1a-1e8d9dc9,30-60,30,60,3,1,350,12,1,16,365.3333,4,12,50,148.1067
centered_candidate_000018_cbfd2ef7,fnv1a-c9579173,30-60,30,60,3,1,361.3333,13,1,17,393,5.8,13,50,147.42
centered_candidate_000035_dd247b69,fnv1a-993a0232,30-60,30,60,3,1,345,11,1,15.6667,348.6667,3.6,11,50,147.16
centered_candidate_000002_b858755b,fnv1a-4342fdf4,30-60,30,60,3,1,352.3333,10.6667,1,16.3333,363.3333,4.2,10.6667,50,146.7067
centered_candidate_000019_9cb02c8f,fnv1a-d2259101,30-60,30,60,3,1,364.3333,12.6667,1,17.3333,387,6.6,12.6667,50,145.86
centered_candidate_000023_ffc8e44b,fnv1a-53cce5ca,30-60,30,60,3,1,379,13.6667,1,18.6667,406.6667,8.8,13.6667,50,144.6267
centered_candidate_000032_f5a411d1,fnv1a-ec7a17c1,30-60,30,60,3,1,327,9.3333,1,14.3333,346,3.4,9.3333,50,144.4666
centered_candidate_000020_441b0b72,fnv1a-67281917,30-60,30,60,3,1,347.3333,11.6667,1,16,359,6,11.6667,50,144.0467
centered_candidate_000025_61d56e62,fnv1a-60e89562,30-60,30,60,3,1,357,11.3333,1,17,377.3333,7.2,11.3333,50,142.92
centered_candidate_000033_88253af9,fnv1a-4f4d55b0,30-60,30,60,3,1,355.3333,11,1,17,383.6667,8.4,11,50,140.5533
centered_candidate_000007_6bda4af1,fnv1a-99ea9827,30-60,30,60,3,1,330.6667,9.3333,0.6667,16.6667,353.3333,0,9.3333,50,113.0707
centered_candidate_000038_933743cb,fnv1a-4be22918,30-60,30,60,3,1,286.6667,8,0.6667,13.3333,300.3333,1.4,8,50,104.824
