candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,scoreStdDev,consistencyScore,generalFitnessScore
search_candidate_000031_ac915ca5,random-phased,240,240,941.0167,859,549.8,1405.2,0.6542,113.5196,3.0125,41.6583,78.3,0.1542,1.2167,0.5266,10342.5792,338.538,380.531,-7945.7634
search_candidate_000176_b7595427,random-phased,240,240,1024.2917,991.5,603.6,1492.4,0.875,118.4919,3.2542,44.4583,68.3917,0.0708,1.6292,0.3439,10766.2208,338.0785,434.5608,-7955.9149
centered_candidate_000083_da814c70,centered-gaussian,240,240,1002.1542,969,557,1547.1,0.7,113.6856,3.1625,44.8792,75.7375,0.15,1.3083,0.4833,10522.625,382.7184,365.6408,-7966.9145
search_candidate_000027_324aed68,random-phased,240,240,1010.5542,983.5,562.6,1542.1,0.7167,113.9183,3.225,44.4708,72.5958,0.1458,1.3792,0.4515,10563.9792,380.0982,372.5509,-7970.948
centered_candidate_000108_71b455b9,centered-gaussian,240,240,962.7125,926.5,573.8,1468,0.7583,114.1623,2.9458,43.375,72.6417,0.1208,1.3875,0.4509,10570.2,350.3107,398.6447,-7996.9263
centered_candidate_000105_d9a8c538,centered-gaussian,240,240,1000.3125,1016,576.1,1440.9,0.9042,118.5167,3.0958,43.5083,65.6125,0.0667,1.6167,0.3514,10831.0292,324.9249,413.6375,-8022.655
search_candidate_000011_4ef6b9f9,random-phased,240,240,1039.7,1005.5,558.9,1593.1,0.775,113.8594,3.3333,46.1458,75.4375,0.1,1.4875,0.421,10713.3208,409.2569,354.2715,-8030.6022
centered_candidate_000088_3b78d3e7,centered-gaussian,240,240,1000.5792,1019,585.6,1446.4,0.8917,118.5292,3.1458,43.1958,65.95,0.0583,1.6042,0.3586,10846.575,324.5832,423.3084,-8041.2658
centered_candidate_000194_f5ac9f55,centered-gaussian,240,240,1008.8542,967.5,570.5,1502.1,0.775,114.741,3.1375,45.1667,73.1,0.0917,1.425,0.4513,10713.0917,374.6932,383.1534,-8064.0261
centered_candidate_000199_43e44a96,centered-gaussian,240,240,1012.65,991.5,598.9,1558.4,0.7792,113.5738,3.1625,45.2958,70.7417,0.1792,1.4792,0.4087,10785.175,370.804,413.498,-8092.6491
centered_candidate_000023_4aef5529,centered-gaussian,240,240,1018.6,1008.5,614.2,1488.3,0.9042,119.0727,3.175,44.075,66.1042,0.0458,1.6458,0.3484,10954.4958,331.5196,448.4402,-8102.4231
