candidateId,strategyVariantId,runs,scenarioCount,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000153_c0509ff8,centered-gaussian,90,90,43.4778,30,10,91.2,37.5444,977.4778,771,437.1,2033.3,0.4444,100.5106,3.2333,45.6778,1398.9444,1032,525.9,3111.8,90.7,0.1,1.6778,0.5482,13644.0444,932.3451,611.6694,-8.7722,43.4778
centered_candidate_000031_99568878,centered-gaussian,90,90,43.4556,31.5,11,93.9,35.6536,993.1333,801,455.4,1957.6,0.4444,101.0689,3.3222,46.2778,1399.3333,1053,531.8,2934.1,89.6667,0.1111,1.6778,0.5258,13514.4778,884.6145,586.3819,-6.8268,43.4556
centered_candidate_000129_785fffbc,centered-gaussian,90,90,43.4333,31,11.9,92.3,35.1966,988.3444,811.5,448.8,1883.8,0.4333,102.4433,3.3111,45.7778,1418.2556,1118,574.9,3113.6,92.1,0.1,1.7778,0.5228,14150.3556,867.4035,559.3668,-5.6983,43.4333
centered_candidate_000131_fc6cbd97,centered-gaussian,90,90,43.4333,28,10.9,90.6,35.2591,968.0556,784,414.5,1887.5,0.3444,99.5906,3.3333,45.0778,1400.9889,1088,504.3,3103,96.4222,0.0667,1.7222,0.5876,14375.1556,881.0029,561.1945,-6.7295,43.4333
centered_candidate_000039_de4ce3dd,centered-gaussian,90,90,43.4222,29,11,85.3,35.8317,994.5556,757.5,413.4,2054.7,0.4333,102.8167,3.3222,45.9778,1434.4556,1056,539,3055.1,92.6222,0.1444,1.7222,0.5209,13924.7222,902.752,601.058,-6.9158,43.4222
centered_candidate_000066_a0081c56,centered-gaussian,90,90,43.4111,29.5,10,93.2,36.2589,974.6111,773,421.3,1968.3,0.4,100.3594,3.2889,45.5222,1396.6444,1078,518.7,2976.9,92.0111,0.1444,1.7556,0.5125,14011.5,896.0337,582.4968,-8.1295,43.4111
centered_candidate_000123_64432f68,centered-gaussian,90,90,43.4,30,10,103.1,38.2142,969.1,794.5,425,1992.4,0.4111,100.2128,3.2778,45.4111,1380.2111,1080,520,2803.8,89.5667,0.1333,1.6444,0.5474,13376.4444,892.6474,568.3573,-9.1071,43.4
centered_candidate_000157_6851d3d3,centered-gaussian,90,90,43.3889,32,9,89.1,36.6266,985.4,797.5,440.1,2060.1,0.4333,102.5239,3.3,45.5,1398.0889,1087,585.9,2913.3,90.0222,0.1111,1.6667,0.5354,13444.3222,858.3177,573.5163,-9.3133,43.3889
centered_candidate_000043_7e2efc6f,centered-gaussian,90,90,43.3778,32,11.9,88.2,36.6359,1004.5778,791,437.7,2092.2,0.4667,103.6794,3.2778,46.5111,1425.5444,1076,622.7,2859.8,85.5889,0.1444,1.5667,0.5037,12696.5444,864.0464,598.0011,-6.418,43.3778
centered_candidate_000120_d70ee300,centered-gaussian,90,90,43.3778,29.5,10,88.3,34.7891,977.8778,801,412.4,1903.2,0.4222,100.3517,3.2889,45.7778,1395.5667,1092.5,510.2,2864.6,92.5556,0.1,1.7333,0.5408,13898.4667,876.3423,576.8089,-7.3945,43.3778
centered_candidate_000042_71ecbdbd,centered-gaussian,90,90,43.3556,30,10.9,96.4,36.0907,978.7556,771,424,2001.7,0.4,100.97,3.3333,45.4889,1391.6111,1099.5,541.1,3097.2,93.7222,0.1333,1.7333,0.5351,14071.5556,864.0673,575.1824,-7.1454,43.3556
centered_candidate_000132_86903179,centered-gaussian,90,90,43.3444,27.5,12,93.2,35.6025,978.6556,833.5,451.7,1960.4,0.4222,101.5222,3.2778,45.7444,1397.9778,1090,548.3,2804,90.6444,0.1333,1.6556,0.5319,13496.3222,869.8348,561.8838,-5.8012,43.3444
centered_candidate_000024_cee48b36,centered-gaussian,90,90,43.3333,29.5,11,97.3,36.3343,986.4444,796.5,456.9,1926.2,0.4222,101.07,3.2889,46.1556,1411.8889,1077.5,568.6,2996.2,90.9444,0.1111,1.7667,0.5128,13932.5444,899.6047,582.1616,-7.1671,43.3333
centered_candidate_000043_5b160a53,centered-gaussian,90,90,43.3222,30,10.9,92.5,34.2266,1005.1889,807.5,452.3,1947.2,0.5111,103.8611,3.3,46.6333,1451.8556,1111.5,558,3125.4,89.4222,0.0889,1.7556,0.5049,13671.7889,901.9415,584.1274,-6.2133,43.3222
centered_candidate_000136_99f1a019,centered-gaussian,90,90,43.3,32,11,96.1,35.8408,982.1667,767.5,428.8,1963.4,0.4,101.8239,3.2889,45.4333,1403.0667,1117,570.6,2905.3,90.3333,0.1,1.6667,0.5324,13582.9556,880.6699,571.933,-6.9204,43.3
general_top10-average-phased_1965d55c,top10-average-phased,90,90,43.3,30,11.9,94.1,35.3605,984.2444,804.5,478.3,1980,0.4222,102.1606,3.3,46.0556,1417.3,1052.5,588.7,2909.2,93.3778,0.1,1.7,0.5487,13834.6333,874.2863,556.274,-5.7803,43.3
centered_candidate_000107_341e8893,centered-gaussian,90,90,43.2889,32.5,11.9,99.6,34.02,1007.3556,816,468,1961.8,0.4667,103.5356,3.3,46.9333,1439.5,1103,579.2,3057.3,86.3222,0.2,1.6,0.5029,12904.6889,879.2182,581.2823,-5.11,43.2889
centered_candidate_000011_c6f6c49f,centered-gaussian,90,90,43.2667,28,11,91.1,37.9654,983.0778,739.5,444.1,1997.2,0.4444,102.05,3.2667,45.8333,1414.3333,1089.5,591.3,2911.2,88.9,0.0889,1.6556,0.5277,13333.8889,880.7661,589.6229,-7.9827,43.2667
centered_candidate_000074_3798c9df,centered-gaussian,90,90,43.2444,32,9.9,108.5,36.2955,989.3667,783,421.8,1962.6,0.4667,101.7939,3.3222,46.1111,1421.6667,1109,480.9,2973.4,90.2222,0.1556,1.7111,0.5119,13507.9667,875.1107,598.6946,-8.2477,43.2444
centered_candidate_000022_e4cc12b6,centered-gaussian,90,90,43.2222,28.5,11.9,91.2,37.1695,984.5,779,461.7,1901.4,0.4556,102.1006,3.2556,45.6778,1409.0222,1039.5,589.9,3170.3,86.8333,0.1556,1.5778,0.5239,12934.4889,889.1498,586.0123,-6.6848,43.2222
centered_candidate_000127_5bd97831,centered-gaussian,90,90,43.1778,32,11,91.4,35.2734,996.4667,822.5,469.9,1973.3,0.5,101.5806,3.3222,46.4778,1427.0111,1102.5,571.4,3137.2,87.3222,0.1333,1.6333,0.5089,13079.6778,916.0983,592.9909,-6.6367,43.1778
centered_candidate_000079_388cbb33,centered-gaussian,90,90,43.1667,32,11.9,94.6,36.338,969.0444,841.5,410.7,1947.5,0.4,99.8222,3.2889,45.0889,1372.7778,1086,499.4,3009,93.8222,0.1222,1.6556,0.5706,13918.4333,884.1892,588.4323,-6.269,43.1667
centered_candidate_000095_7261d034,centered-gaussian,90,90,43.1667,31,11,91.1,34.3311,977.6556,835,451.7,1837.3,0.4222,101.0756,3.3111,45.4,1387.5444,1058,567.8,2970.4,92.6,0.0444,1.7222,0.5473,13900.8556,863.0586,545.0818,-6.1656,43.1667
centered_candidate_000121_02f179f1,centered-gaussian,90,90,43.1667,30.5,11,89.6,35.6861,995.7778,800,451.5,1986.2,0.4667,102.3661,3.3444,45.8778,1412.7556,1067,560,3151.6,85.7778,0.1222,1.6556,0.5027,13009.7556,872.8421,576.3895,-6.843,43.1667
centered_candidate_000114_b0b54f93,centered-gaussian,90,90,43.1556,30,10.9,93.8,35.5068,973.9667,749,452.8,1925.6,0.4,99.5111,3.3,45.9333,1385.7444,1057,585.4,2988.3,94.4333,0.0667,1.7667,0.5532,14308.8111,890.1563,576.6758,-6.8534,43.1556
centered_candidate_000136_d7a47acf,centered-gaussian,90,90,43.1556,31,9,94,37.753,950,758.5,421.1,1736,0.4111,99.4011,3.2222,44.5111,1362.5667,1120,503.3,2869.6,92.9667,0.0556,1.7667,0.5374,14209.5444,860.9422,573.168,-9.8765,43.1556
centered_candidate_000073_7f857048,centered-gaussian,90,90,43.1444,30,10,100.3,35.0002,982.5889,786,442.2,1984.9,0.4667,101.6972,3.3111,45.6778,1417.0333,1102,540.7,2899.1,92.9444,0.1222,1.8556,0.5178,14456.0444,874.0062,574.245,-7.5001,43.1444
centered_candidate_000145_ce353921,centered-gaussian,90,90,43.1333,30,10,94.2,35.244,986.9889,767.5,440.6,1945.2,0.4556,101.2222,3.3333,45.9667,1399.4333,1104.5,561.3,2996.8,90.0222,0.1,1.6556,0.5463,13410.7778,862.9081,571.7106,-7.622,43.1333
centered_candidate_000101_0ed600e8,centered-gaussian,90,90,43.1222,33,11,88.1,35.2795,980.0444,783,482,2007.3,0.3889,101.8822,3.2778,45.7,1409.3556,1040,643.6,3174.8,91.7667,0.0778,1.7889,0.5241,14162.6556,871.8393,563.226,-6.6397,43.1222
general_top1-phased_d33cc686,top1-phased,90,90,43.0667,31.5,11,94.9,33.7905,998.9333,839,446.5,1859.9,0.4556,102.3311,3.3222,45.6556,1410.3,1096,506.3,2797.1,84.4,0.1556,1.5333,0.5319,12646.8111,864.2777,584.9519,-5.8952,43.0667
search_candidate_000145_8549829b,random-phased,90,90,43.0667,31.5,11,94.9,33.7905,998.9333,839,446.5,1859.9,0.4556,102.3311,3.3222,45.6556,1410.3,1096,506.3,2797.1,84.4,0.1556,1.5333,0.5319,12646.8111,864.2777,584.9519,-5.8952,43.0667
