candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000169_42791242,centered-gaussian,5,5,0,656.4,91,44.8,1828.2,1144.9785,5569.8,1697,1162.6,13763.2,0,208.94,10.8,290,16078,3356,1951.4,42875.4,192,0,3,0.6458,23288.4,26176.0068,7876.5416,-527.6893,656.4
centered_candidate_000047_b70de94d,centered-gaussian,5,5,0,653.2,71,59.2,1829.4,1173.9232,5507.4,1478,1276,13768.4,0,199.06,11,285.6,18078.6,2648,1965.4,49594.8,194.2,0,2.6,0.7378,22086.2,31262.9091,8221.2552,-527.7616,653.2
centered_candidate_000131_4d3a262d,centered-gaussian,5,5,0,651.4,63,47.2,1810.6,1106.135,5300.4,1449,1134.4,13025.6,0,218.28,11,264.4,18890,2254,1970.4,51497.2,184.2,0,2.6,0.7939,21093.2,31174.9182,7217.2225,-505.8675,651.4
centered_candidate_000052_4556e053,centered-gaussian,5,5,0,644,80,60.8,1739.2,1014.2907,5593.8,1608,1374.2,13405.2,0,224.8,11.4,287.6,14176,3099,2393.6,36168.6,201.4,0,3.2,0.5897,24100.4,20472.5581,7164.7025,-446.3453,644
centered_candidate_000048_2aaa6412,centered-gaussian,5,5,0,643.2,88,84,1703.6,984.1125,5606.4,1667,1588,13122,0,227.14,11.8,285.8,15057.2,3441,2887.6,37927.4,204.6,0,3.4,0.6496,25647.8,21343.1345,6888.7112,-408.0562,643.2
centered_candidate_000066_00a26ccc,centered-gaussian,5,5,0,636.6,123,30,1774,1119.4691,5377.8,2107,797.8,13452.8,0,196.24,10.6,279.6,14695.4,4066,1308,39172.6,188.2,0,3.2,0.6167,23781.2,23944.9468,7818.8494,-529.7345,636.6
centered_candidate_000101_a736d4f7,centered-gaussian,5,5,0,628.8,59,48.2,1757.8,1095.9939,5298,1380,1157.4,13138.6,0,220.26,10.6,269.6,15947.4,2784,2272.6,42256.8,184.8,0,3,0.5604,22267.8,25311.2125,7463.6249,-499.7969,628.8
centered_candidate_000136_924fcdf7,centered-gaussian,5,5,0,626,234,76.4,1579.6,908.1357,5579.8,3055,1457.2,12400.6,0,240.44,12.2,280,16510.6,6755,2532,40709.2,197.6,0,3.2,0.6271,24626,23200.8545,6492.5905,-377.6678,626
centered_candidate_000060_e6b5ac0b,centered-gaussian,5,5,0,620.2,64,34.4,1761.2,1127.1004,5011.8,1338,866,12849.2,0,189.64,10,256.6,15031.4,2402,1356.2,41368.2,189.2,0,2.2,0.6956,19149,25934.0673,7662.5955,-529.1502,620.2
centered_candidate_000004_48a41a3d,centered-gaussian,5,5,0,617,67,49.6,1733,1110.0665,5234.6,1417,1113.4,13131,0,195.94,10.2,272.8,15159.8,2517,1692,41145.6,186.2,0,3.2,0.6978,24238.2,25645.3951,7776.7621,-505.4332,617
centered_candidate_000086_be7de54f,centered-gaussian,5,5,0,613,81,44.2,1718.6,1097.1405,5266.4,1578,1036.6,13210.2,0,199.52,10.2,275.6,15474.6,2913,1667.2,41901.2,188.8,0,2.8,0.6621,21889.6,26072.7904,7782.2004,-504.3702,613
centered_candidate_000044_ab16d7f3,centered-gaussian,5,5,0,609.8,120,71,1601,919.2522,5477.6,1938,1472.6,12705.8,0,219.94,11.6,281.4,14407,3504,2750.8,36187.2,199.4,0,3.6,0.6318,26798.2,20336.2514,6631.9312,-388.6261,609.8
centered_candidate_000117_97763bac,centered-gaussian,5,5,0,603.4,60,53,1663.4,1008.2342,5117.4,1363,1226.8,12438.8,0,216.98,10.8,258,14839.8,2610,2337.6,38799.4,196.4,0,3.4,0.5872,24696.8,22796.3803,6808.6191,-451.1171,603.4
search_candidate_000152_fae817a0,random-phased,5,5,0,590.4,41,37,1690.2,1094.3249,4840.6,950,913.6,12593.2,0,180.34,9.4,251.4,14746.8,1517,1357.2,41250,184.6,0,2.6,0.8178,21578,26288.2049,7643.0549,-510.1625,590.4
search_candidate_000150_52fe424d,random-phased,5,5,0,589.6,76,39,1451,681.158,5158.2,1525,948.4,11594,0,234.1,11.8,256.4,10880.8,2732,1498.6,24991.6,228.6,0,3.2,0.6871,23986.2,11174.9417,5095.2377,-301.579,589.6
search_candidate_000169_06bb3b65,random-phased,5,5,0,585.2,82,70,1519,820.5075,5292.6,1691,1421.2,12145.8,0,234.04,11.6,267.8,11833.8,3073,2607.2,28092.8,210.6,0,3.4,0.5403,24610,14020.9437,5975.4535,-340.2538,585.2
centered_candidate_000095_9fadf3b4,centered-gaussian,5,5,0,584.6,81,34.2,1644.4,1047.9562,4924.2,1575,907.6,12344.8,0,198.44,9.8,253.4,14585.8,3035,1539.4,39344.4,186,0,2.8,0.7014,21372.4,24388.4835,7234.5919,-489.7781,584.6
centered_candidate_000134_6c839b30,centered-gaussian,5,5,0,581.6,91,53.8,1557,901.6996,5157.6,1651,1191,12296.4,0,217.6,11,262.4,15866.8,3084,2368.8,41251.4,194.8,0,3,0.6322,23868.6,23851.4051,6494.6792,-397.0498,581.6
centered_candidate_000104_720c087a,centered-gaussian,5,5,0,581.4,75,67.8,1600.4,1015.3164,4918,1661,1369.6,11753.4,0,204.14,10.4,248.8,16087.2,3332,2427.6,42587.6,193.6,0,2.6,0.7179,22263.2,26304.1948,6768.0191,-439.8582,581.4
centered_candidate_000189_54c5fdaf,centered-gaussian,5,5,0,579.6,88,33.4,1616.2,1010.4919,4995.6,1619,878,12488,0,189.98,10.2,258.6,12769,2691,1332.2,34163.2,186.6,0,3,0.6315,23943.4,20712.4102,7184.6586,-471.8459,579.6
search_candidate_000166_df4e4e68,random-phased,5,5,0,577.8,88,60.2,1436.2,694.8754,4969.2,1640,1309,10886.4,0,217.06,11.8,244.2,10747.2,2799,1916.2,25196.2,220.6,0,2.8,0.7484,23007.6,11770.903,4764.2333,-287.2377,577.8
centered_candidate_000061_775d5b8f,centered-gaussian,5,5,0,542,71,43.6,1461.2,838.8237,5054.6,1565,1099,12064.4,0,214.68,10.6,260.8,14249.8,2535,1958.6,37039,182,0,2.8,0.6811,21672.8,20961.0482,6260.6379,-375.8119,542
search_candidate_000036_3c9cea7e,random-phased,5,5,0,523.8,165,79.4,1151.6,507.9722,4741.8,2347,1565.2,9118.8,0,258.16,12,225.8,10378.6,4938,2764.2,20889.2,241.6,0,3.8,0.5059,25376.2,8448.5131,3552.2256,-174.5861,523.8
centered_candidate_000118_10497af5,centered-gaussian,5,5,0,519,73,42,1444.2,916.1526,4597.8,1561,1027.6,11247.2,0,192.46,9.6,237.2,13544.8,2720,1735.4,36124.6,190,0,2.6,0.7193,21461.8,22282.7917,6537.7171,-416.0763,519
centered_candidate_000174_9c3b3f7e,centered-gaussian,5,5,0,495.6,51,48,1385.8,885.7197,4430.2,1256,1180.6,10850.2,0,188.46,9.4,227.6,11605.2,2290,1870.8,30663.4,183.4,0,2.4,0.8048,20274.4,18981.5476,6389.6039,-394.8599,495.6
centered_candidate_000151_678f2699,centered-gaussian,5,5,0,484.8,58,35.4,1349.4,840.7548,4347.4,1330,893.6,10710,0,186.84,9.4,222.6,11099.2,2445,1439,29157,186.6,0,2.6,0.7616,21550.4,17418.774,6078.6916,-384.9774,484.8
centered_candidate_000053_dbc65487,centered-gaussian,5,5,0,482.2,63,53.8,1304.6,784.1169,4513.8,1405,1231.8,10693.8,0,210.62,9.8,230.2,11436.8,2652,2053.4,28981,188.6,0,2.6,0.7531,20720.8,16416.2054,5834.2764,-338.2585,482.2
search_candidate_000073_eba9424d,random-phased,5,5,0,480.2,361,54.8,1051.8,497.733,4635,4059,1244.8,8955.8,0,232.08,11.6,225.6,9924.2,8358,2351.8,19854.4,202,0,3.4,0.6705,24696.4,8777.2272,3818.5937,-194.0665,480.2
search_candidate_000061_092e80d3,random-phased,5,5,0,475.8,113,69.8,1240.2,742.3803,4454,1837,1392.2,10084.2,0,197.8,10,226.8,11061.6,3342,2669.8,26966.8,189,0,3.2,0.5757,23653.2,15440.3863,5407.918,-301.3902,475.8
centered_candidate_000160_b59a1672,centered-gaussian,5,5,0,440.6,118,55.2,1125.2,624.9395,4187.4,2091,1242.8,9043.8,0,208.88,10,207.2,10261.6,3944,2130.4,24259.4,189.6,0,2.8,0.6551,22244,12606.1301,4274.783,-257.2698,440.6
centered_candidate_000083_3318f4c0,centered-gaussian,5,5,0,413.8,42,38,1155.4,731.7167,3935,1011,914.4,9779.2,0,180.6,8.4,204.4,9973.6,1740,1389.4,26571.8,178.2,0,2.4,0.7504,20185.2,16160.7496,5659.9194,-327.8584,413.8
search_candidate_000065_e8a66c1d,random-phased,5,5,0,399.2,88,49.2,1057.4,639.5659,3946.6,1782,1118.8,8942.6,0,198.94,8.8,202,8623.8,3783,2021.8,20202.8,185,0,3,0.5893,22419.2,11129.6226,4772.6447,-270.583,399.2
centered_candidate_000045_bf51dad9,centered-gaussian,5,5,0,376.4,67,62.2,998.8,618.8204,3664,1496,1338,8180,0,187.56,8.8,182.6,9266.2,2603,2246.4,22906.4,179,0,3.6,0.653,25945.6,13474.6678,4473.712,-247.2102,376.4
search_candidate_000165_123e30c0,random-phased,5,5,0,370,60,44,994.8,603.6983,3468.8,1302,1024.8,7949.4,0,179.24,8.4,172,7292.4,2105,1406,18113.2,185.8,0,2.6,0.7572,20831,10272.4364,4233.1846,-257.8491,370
search_candidate_000182_805e75c7,random-phased,5,5,0,340.6,62,35.4,923.8,571.4965,3207.8,1268,843.6,7506.6,0,178.8,8,158,7184.2,2110,1337.8,17940.2,197.4,0,3,0.666,23132.8,10285.8329,4112.4175,-250.3482,340.6
general_top10-average-phased_6e84bf9a,top10-average-phased,5,5,0,340.4,86,32.6,909.4,557.8672,3309.6,1707,860.6,7468.6,0,181.78,8.2,162.6,7182.2,3175,1159.2,17469.6,177.4,0,2.8,0.6861,22038.8,9890.5832,4005.1633,-246.3336,340.4
search_candidate_000062_e03f40cc,random-phased,5,5,0,331.4,238,102.2,655.6,302.0275,3564,3027,1654.8,6023.4,0,239.28,9.8,167,7354.4,6521,2869.8,12915.2,207.4,0,4.2,0.4582,26946.8,5129.821,2284.8691,-48.8138,331.4
search_candidate_000001_07411703,random-phased,5,5,0,310.2,48,34.2,850.6,537.4374,3083.6,1135,835.8,7322.4,0,167.56,7.6,154.6,6709.6,1850,1141.2,17215,181.8,0,2.4,0.7926,20049.6,10294.7499,4160.9193,-234.5187,310.2
search_candidate_000037_d537a6f7,random-phased,5,5,0,305,57,43.4,809,491.3203,3012.2,1268,1019.4,6681.6,0,179.22,7.8,145.4,6315.2,2247,1496.6,15201.4,176.4,0,3,0.6665,22743.4,8563.4255,3502.144,-202.2601,305
centered_candidate_000196_575b8ec7,centered-gaussian,5,5,0,275.4,83,67,675,393.9551,2999.4,1619,1429,5945.4,0,179.86,8,145.6,6695.4,2764,2512,14761,167.2,0,3,0.6111,22567.8,7876.3056,2878.3738,-129.9776,275.4
search_candidate_000104_1e0be154,random-phased,5,5,0,257.6,121,85.4,506.6,198.5846,3005.6,2034,1637.8,4928.2,0,192.22,8.6,143.6,5964.6,4285,2892,10060.8,183.2,0,3.6,0.4804,24819,3285.6635,1534.5848,-13.8923,257.6
